的	的 的话 的确
理	理 理论 理解 理想 理由 理性
起	起 起来 起义 起源 起到 起伏
小	小 小时 小说 小组 小学 小姐
长	长 长期 长江 长大 长度 长短
物	物 物质 物体 物理 物资 物价
现	现 现在 现象 现代 现实 现代化
实	实 实现 实际 实行 实践 实验
加	加 加强 加以 加工 加上 加入
量	量 量子力学 量子 量变
两	两 两者 两边 两国 两侧 两端
体	体 体系 体现 体制 体育 体积
制	制 制度 制造 制定 制约 制成
机	机 机关 机会 机构 机械 机器
当	当 当时 当然 当前 当地 当作
还	还 还是 还有 还要 还不是 还原
使	使 使用 使得 使劲 使命 使用价值
点	点 点头 点点头 点燃 点着 点心
从	从 从而 从事 从来 从此 从前
业	业 业务 业余 业绩 业已
本	本 本身 本质 本来 本人 本领
重	重 重要 重大 重视 重新 重点
去	去 去年 去世 去过 去掉 去路
把	把 把握 把戏
性	性 性质 性格 性能 性状 性别
好	好 好象 好像 好好 好处 好几
应	应 应该 应当 应用 应有 应付
开	开 开始 开展 开发 开放 开会
它	它 它们
合	合 合理 合作 合同 合成 合适
因	因 因为 因此 因素 因而 因果
由	由 由于 由此 由此可见 由得 由衷
其	其 其他 其中 其它 其实 其次
然	然 然后 然而
前	前 前面 前进 前提 前后 前者
外	外 外国 外面 外部 外界 外交
天	天 天气 天津 天空 天下 天然
政	政 政治 政府 政策 政权 政党
四	四 四十 四人帮 四周 四川 四边形
日	日 日本 日子 日益 日军 日常
那	那 那么 那些 那个 那样 那里
社	社 社会 社会主义 社员 社会主义建设 社会主义社会
义	义 义务 义和团 义务教育
事	事 事情 事物 事实 事业 事件
平	平 平均 平衡 平等 平时 平原
形	形 形成 形式 形象 形态 形势
相	相 相同 相互 相当 相对 相信
全	全 全国 全部 全面 全体 全身
表	表 表现 表示 表明 表面 表演
间	间 间接 间隔 间隙 间断 间谍
样	样 样子 样品 样式 样儿 样本
与	与 与此同时 与其 与其说 与会
关	关 关系 关于 关心 关键 关怀
各	各 各种 各个 各地 各国 各级
新	新 新闻 新鲜 新兴 新疆 新型
线	线 线段 线圈 线索 线条 线路
内	内 内容 内部 内在 内心 内地
数	数 数量 数学 数字 数目 数据
正	正 正确 正在 正是 正常 正式
心	心 心理 心里 心情 心理学 心中
反	反 反映 反应 反对 反动 反复
你	你 你们 你们俩
明	明 明显 明白 明确 明天 明亮
看	看 看到 看见 看来 看出 看法
原	原 原则 原来 原因 原子 原理
又	又 又是 又称 又名
利	利 利用 利益 利润 利于 利息
比	比 比较 比例 比赛 比如 比重
或	或 或者 或是 或者说 或许 或者是
但	但 但是 但愿
质	质 质量 质子 质变 质地 质朴
气	气 气候 气体 气温 气氛 气象
第	第 第一 第二 第三 第一次 第四
向	向 向前 向上 向着 向往 向来
道	道 道德 道路 道理 道教 道士
命	命 命令 命运 命题 命名 命脉
此	此 此外 此时 此后 此刻 此种
没	没 没有 没想到 没人 没法 没什么
变	变 变化 变成 变为 变动 变革
条	条 条件 条例 条约 条款 条件反射
只	只 只有 只是 只要 只能 只好
结	结 结构 结果 结合 结束 结论
解	解 解决 解释 解放 解放军 解除
问	问 问题 问道 问世 问候 问起
意	意 意义 意见 意识 意思 意志
建	建 建立 建设 建筑 建议 建国
月	月 月亮 月份 月球 月光 月初
公	公 公司 公民 公里 公社 公开
无	无 无产阶级 无法 无论 无数 无限
系	系 系统 系数 系列 系统性 系统论
军	军 军事 军队 军阀 军人 军官
很	很 很多 很快 很少 很久 很有
情	情 情况 情绪 情感 情形 情节
最	最 最后 最大 最近 最高 最好
立	立 立即 立刻 立场 立法 立方米
代	代 代表 代替 代谢 代价 代表团
想	想 想到 想起 想象 想法 想不到
已	已 已经 已知
通	通 通过 通常 通知 通讯 通电
并	并 并不 并且 并不是 并非 并存
提	提 提高 提出 提供 提到 提倡
直	直 直接 直到 直线 直径 直觉
题	题 题材 题目 题为 题词
党	党 党委 党员 党中央 党支部 党内
程	程 程度 程序 程式
展	展 展开 展览 展现 展示 展出
五	五 五十 五月 五百 五千 五四
果	果 果然 果实 果树 果断 果园
料	料 料到
象	象 象是 象征 象征性
革	革 革命 革新 革命家 革命者 革命军
位	位 位置 位于 位移
入	入 入党 入手 入侵 入学 入伍
常	常 常常 常见 常用 常有 常数
文	文 文化 文学 文艺 文章 文字
总	总 总是 总结 总之 总理 总统
次	次 次数 次要 次序 次日 次年
品	品 品种 品质 品德 品格 品尝
式	式 式样
活	活 活动 活跃 活泼 活力 活性
设	设 设备 设计 设立 设想 设置
及	及 及其 及时 及早 及格
管	管 管理 管辖 管道 管子 管理者
特	特 特别 特点 特征 特殊 特性
求	求 求证 求得 求出 求学
老	老 老师 老人 老头 老婆 老爷
头	头 头上 头发 头脑 头部 头顶
基	基 基本 基础 基础上 基本上 基督教
资	资 资本主义 资产阶级 资金 资源 资料
边	边 边缘 边界 边境 边疆 边区
流	流 流通 流动 流行 流传 流域
路	路 路线 路上 路程 路子 路过
级	级 级差 级别
少	少 少数 少年 少量 少数民族 少女
图	图 图形 图画 图案 图象 图书馆
山	山 山东 山区 山上 山坡 山地
统	统 统一 统治 统计 统治阶级 统治者
接	接 接受 接着 接触 接近 接过
知	知 知道 知识 知识分子 知觉 知名
较	较 较为 较之 较量
将	将 将来 将军 将要 将近 将于
组	组 组织 组成 组合 组成部分 组长
见	见 见到 见过 见面 见解 见于
计	计 计划 计算 计算机 计划经济 计划生育
别	别 别人 别的 别说 别看 别处
她	她 她们
手	手 手段 手里 手中 手术 手法
角	角 角度 角色 角落 角逐
期	期 期间 期望 期限 期待 期货
根	根 根据 根本 根据地 根本上 根源
论	论 论述 论文 论证 论点 论断
运	运 运动 运用 运输 运动员 运行
农	农 农业 农民 农村 农产品 农场
指	指 指出 指导 指挥 指示 指标
几	几 几个 几乎 几十 几百 几千
九	九 九月 九十 九点
区	区 区别 区域 区分 区长 区内
强	强 强调 强烈 强度 强大 强迫
放	放 放下 放心 放出 放弃 放到
决	决 决定 决不 决心 决策 决议
西	西 西方 西北 西南 西部 西欧
被	被 被动 被迫 被子 被告人 被告
干	干 干部 干什么 干涉 干扰 干燥
做	做 做到 做好 做出 做法 做得
必	必 必须 必然 必要 必需 必定
战	战 战争 战士 战斗 战略 战胜
先	先 先生 先进 先后 先是 先天
回	回 回来 回答 回到 回家 回去
任	任 任务 任何 任意 任命 任弼时
取	取 取得 取消 取出 取决于 取代
据	据 据说 据统计 据点 据此
给	给 给予 给以 给出
调	调 调节 调整 调查 调动 调查研究
处	处 处理 处于 处在 处处 处境
队	队 队伍 队长 队员 队里
南	南 南京 南方 南部 南北 南极
色	色 色彩 色素 色泽 色光 色调
光	光 光荣 光线 光辉 光明 光合作用
门	门 门口 门外 门前 门类 门户
即	即 即使 即可 即将 即是 即使是
保	保 保证 保持 保护 保存 保障
治	治 治疗 治病 治理 治安 治好
北	北 北京 北方 北部 北平 北京市
造	造 造成 造型 造林 造就 造福
百	百 百姓 百万 百年 百分 百分比
规	规 规定 规律 规模 规则 规范
热	热 热情 热烈 热量 热闹 热爱
领	领 领导 领域 领导者 领袖 领土
七	七 七十 七月 七五 七百
海	海 海洋 海水 海上 海面 海底
口	口 口号 口气 口袋 口腔 口语
东	东 东西 东北 东方 东部 东南
导	导 导致 导演 导线 导体 导弹
器	器 器官 器材 器械 器乐 器具
压	压 压迫 压力 压强 压缩 压抑
志	志 志气 志愿 志愿军 志向
世	世 世界 世纪 世界观 世纪末 世代
金	金 金属 金融 金钱 金刚石 金牌
增	增 增加 增长 增强 增大 增多
争	争 争取 争论 争夺 争吵 争议
济	济 济南
阶	阶 阶段 阶级 阶级斗争 阶层 阶级性
油	油 油画 油田 油灯 油脂 油菜
思	思 思想 思维 思考 思索 思想上
术	术 术语
极	极 极其 极为 极端 极力 极少数
什	什 什么 什么样
交	交 交换 交通 交流 交给 交际
受	受 受到 受伤 受过 受精 受热
联	联 联系 联合 联想 联合国 联盟
认	认 认为 认识 认真 认定 认识论
六	六 六十 六月 六百 六千
共	共 共同 共产党 共产主义 共有 共产党员
权	权 权利 权力 权威 权益 权限
收	收 收入 收到 收购 收集 收缩
证	证 证明 证实 证据 证书 证券
改	改 改变 改革 改造 改善 改进
清	清 清楚 清晰 清醒 清朝 清晨
美	美 美国 美丽 美元 美好 美术
再	再 再也 再说 再次 再现 再生产
采	采 采取 采用 采访 采集 采购
转	转 转化 转移 转变 转身 转动
更	更 更加 更为 更是 更新 更有
单	单 单位 单纯 单独 单一 单调
风	风 风格 风俗 风险 风景 风暴
切	切 切实 切断 切线 切割 切身
打	打 打开 打击 打破 打算 打倒
白	白 白色 白天 白云 白白 白纸
教	教 教育 教师 教学 教授 教会
速	速 速度 速率
花	花 花园 花朵 花色 花粉 花费
带	带 带来 带有 带领 带动 带到
安	安 安排 安全 安慰 安静 安装
场	场 场面 场所 场合 场上 场地
身	身 身体 身上 身子 身边 身份
车	车 车间 车子 车站 车上 车辆
例	例 例如 例子 例外 例证
真	真 真正 真的 真实 真理 真诚
具	具 具有 具体 具备 具体化
万	万 万物 万一 万分 万万 万里
每	每 每个 每天 每年 每次 每人
目	目 目的 目前 目标 目光 目的地
至	至 至于 至今 至少 至此 至多
达	达 达到 达成 达尔文 达斡尔
走	走 走到 走进 走向 走出 走去
积	积 积极 积累 积极性 积压 积雪
示	示 示威 示范 示意 示意图
议	议 议论 议会 议员 议案
声	声 声音 声明 声响 声调 声波
报	报 报告 报道 报纸 报刊 报酬
斗	斗 斗争 斗志
完	完 完全 完成 完整 完善 完了
类	类 类型 类似 类别 类比 类推
八	八 八十 八路军 八月 八百 八旗
离	离 离开 离子 离不开 离婚 离去
华	华 华北 华侨 华盛顿 华丽 华南
名	名 名字 名称 名词 名叫 名义
确	确 确定 确实 确立 确切 确是
才	才 才能 才是 才行 才华 才干
科	科 科学 科学家 科技 科研 科长
传	传 传统 传播 传来 传说 传递
张	张 张开 张学良 张作霖 张望 张口
信	信 信息 信仰 信号 信心 信任
马	马 马上 马克思主义 马克思 马路 马克思列宁主义
节	节 节奏 节约 节目 节日 节省
话	话 话语 话剧 话题 话筒 话音
米	米 米饭
整	整 整个 整体 整理 整顿 整齐
空	空 空气 空间 空中 空前 空军
元	元 元素 元旦 元年 元代 元件
况	况 况且
今	今 今天 今年 今后 今日 今晚
集	集 集中 集体 集团 集合 集体所有制
温	温 温度 温暖 温柔 温和 温带
土	土 土地 土壤 土匪 土耳其 土地改革
许	许 许多 许可 许许多多 许久 许可证
步	步 步骤 步伐 步子 步兵 步枪
群	群 群众 群体 群众性 群落 群众路线
石	石 石油 石头 石块 石灰 石子
广	广 广大 广泛 广州 广东 广阔
矢	矢 矢量
记	记 记者 记忆 记载 记得 记录
需	需 需要 需求 需要量
段	段 段祺瑞 段落
研	研 研究 研制 研究所 研究生 研究者
界	界 界限 界线 界面
拉	拉 拉开 拉住 拉到 拉力 拉长
林	林 林彪 林业 林木 林子 林场
律	律 律师
叫	叫 叫做 叫人 叫声 叫作 叫道
究	究 究竟
观	观 观察 观点 观念 观众 观测
越	越 越来越 越南 越过 越是 越冬
织	织 织布 织云
装	装 装置 装饰 装备 装有 装上
影	影 影响 影子 影片
算	算 算是 算了 算出 算术 算什么
低	低 低于 低温 低声 低头 低级
持	持 持续 持久 持有
音	音 音乐 音响 音节 音乐家 音调
众	众 众多 众人 众所周知
书	书 书记 书籍 书面 书本 书写
布	布 布置 布局 布满 布克 布景
复	复 复杂 复辟 复杂性 复制 复合
容	容 容易 容量 容器 容纳 容许
儿	儿 儿童 儿子 儿女 儿童文学
商	商 商品 商业 商品经济 商店 商量
非	非 非常 非洲 非法 非金属 非要
验	验 验证 验收
连	连 连续 连忙 连接 连长 连队
断	断 断定 断言 断绝 断裂 断开
率	率 率领 率先
深	深 深入 深刻 深深 深处 深度
难	难 难道 难以 难过 难得 难免
近	近 近代 近年来 近似 近来 近年
矿	矿 矿产 矿物 矿山 矿石 矿物质
千	千 千万 千米 千方百计 千克 千百万
周	周 周围 周期 周恩来 周年 周转
委	委 委员会 委员 委托 委屈 委员长
省	省 省委 省市 省长 省城 省政府
素	素 素质 素材 素养 素描
技	技 技术 技巧 技能 技术改造 技术人员
半	半 半天 半年 半径 半岛 半殖民地
办	办 办法 办公室 办事 办理 办公
青	青 青年 青少年 青春 青蛙 青年人
列	列 列宁 列入 列车 列为 列举
习	习 习惯 习俗 习性 习惯于
便	便 便是 便于 便宜 便利 便衣
响	响 响起 响应 响声 响亮
约	约 约束 约定
支	支 支持 支配 支援 支出 支付
般	般 般的
史	史 史料 史学 史岱年 史诗 史记
感	感 感到 感情 感觉 感染 感受
劳	劳 劳动 劳动者 劳动力 劳动人民 劳动生产率
团	团 团结 团体 团长 团员 团委
往	往 往往 往来 往下 往前 往后
酸	酸 酸性 酸碱
历	历 历史 历史上 历来 历代 历史唯物主义
称	称 称为 称之为 称赞 称呼 称作
市	市 市场 市长 市委 市民 市区
克	克 克服 克制 克西
何	何 何况 何必 何以 何处 何等
除	除 除了 除去 除非 除夕 除此之外
消	消 消灭 消费 消息 消耗 消失
构	构 构成 构造 构思 构图 构件
太	太 太阳 太太 太平洋 太多 太空
准	准 准备 准确 准则 准是 准确性
精	精 精神 精神文明 精力 精确 精心
值	值 值得 值班 值钱
号	号 号召 号称 号码
维	维 维持 维护 维生素 维修 维新
划	划 划分 划时代 划清 划定
选	选 选择 选举 选手 选用 选出
标	标 标准 标志 标本 标题 标语
写	写 写出 写作 写信 写成 写道
存	存 存在 存款 存放 存贮
候	候 候选人
亲	亲 亲自 亲切 亲人 亲属 亲戚
毛	毛 毛泽东 毛主席 毛病 毛泽东思想 毛巾
快	快 快乐 快速 快要 快活 快去
效	效 效果 效率 效应 效益 效力
斯	斯 斯大林
院	院 院子 院长 院里 院校
查	查 查明 查出 查看 查处 查阅
江	江 江南 江苏 江西 江青 江水
型	型 型号
眼	眼 眼睛 眼前 眼泪 眼光 眼里
王	王 王朝 王国 王子 王明 王宫
按	按 按照 按劳分配 按时 按钮 按着
格	格 格外 格局 格式
养	养 养成 养殖 养料 养分 养鱼
易	易 易于
置	置 置于 置身 置换
派	派 派人 派出 派遣 派出所 派别
层	层 层次
片	片 片面 片刻 片面性 片断 片子
始	始 始终 始于
却	却 却是 却说
专	专 专门 专业 专家 专政 专制
状	状 状态 状况 状元
育	育 育种 育苗
厂	厂 厂长 厂里 厂房 厂家 厂矿
京	京 京剧 京城 京师 京京
识	识 识别 识字 识记
适	适 适应 适当 适用 适合 适宜
参	参 参加 参与 参观 参考 参谋长
属	属 属于 属性
圆	圆 圆形 圆心 圆圆 圆圈 圆满
包	包 包括 包含 包围 包装 包袱
火	火 火车 火箭 火焰 火柴 火星
住	住 住宅 住房 住在 住所 住处
满	满 满足 满意 满脸 满族 满怀
县	县 县委 县城 县长 县里 县政府
局	局 局面 局部 局长 局限 局限性
照	照 照片 照顾 照射 照着 照样
红	红 红军 红色 红旗 红楼梦 红光
细	细 细胞 细菌 细致 细节 细细
引	引 引起 引导 引进 引力 引入
听	听 听到 听说 听见 听得 听取
该	该 该书 该死 该项
铁	铁 铁路 铁匠 铁矿 铁器 铁丝
价	价 价值 价格 价值规律 价钱 价值观
严	严 严重 严格 严肃 严密 严厉
底	底 底下 底层 底部 底子 底片
首	首 首先 首都 首次 首长 首要
液	液 液体 液态 液化
官	官 官员 官僚 官兵 官吏 官僚主义
德	德 德国 德育 德意志
随	随 随着 随时 随便 随后 随意
病	病 病人 病毒 病情 病理 病变
苏	苏 苏联 苏维埃 苏州 苏军 苏区
失	失 失去 失败 失望 失业 失调
尔	尔 尔后
死	死 死亡 死去 死后 死者 死刑
讲	讲 讲话 讲究 讲到 讲过 讲述
配	配 配合 配套 配置 配备 配制
女	女 女人 女儿 女子 女性 女士
黄	黄 黄河 黄色 黄金 黄昏 黄土
推	推 推动 推广 推行 推翻 推进
显	显 显然 显得 显著 显示 显微镜
谈	谈 谈话 谈到 谈判 谈起 谈论
罪	罪 罪恶 罪犯 罪行 罪名 罪过
神	神 神经 神秘 神话 神情 神圣
艺	艺 艺术 艺术家 艺术品 艺人 艺术性
含	含 含有 含量 含义 含蓄 含糊
企	企 企业 企图 企业家
望	望 望远镜 望去 望见
密	密 密切 密度 密集 密林 密封
批	批 批评 批判 批准 批发 批量
营	营 营养 营业 营长 营造 营业员
项	项 项目
防	防 防止 防治 防御 防守 防护
举	举 举行 举办 举起 举动 举例
球	球 球形 球体
英	英 英国 英雄 英勇 英语 英文
氧	氧 氧气 氧化 氧化物 氧化剂 氧化铜
势	势 势力 势必 势能 势头 势力范围
告	告 告诉 告别 告诫 告状 告辞
李	李 李宗仁 李鹏 李大钊 李鸿章 李时珍
落	落 落后 落实 落下 落到 落叶
台	台 台湾 台上 台风 台下 台阶
木	木 木材 木板 木头 木质 木炭
帮	帮 帮助 帮忙
轮	轮 轮船 轮廓 轮流 轮到 轮子
破	破 破坏 破产 破裂 破旧 破烂
亚	亚 亚洲 亚里士多德 亚热带 亚运会
朝	朝 朝鲜 朝着 朝廷 朝代
师	师 师傅 师长 师生 师范 师资
围	围 围绕 围剿 围攻 围墙 围住
注	注 注意 注视 注重 注意力 注入
远	远 远远 远处 远方 远离 远大
字	字 字母 字形 字眼 字样
材	材 材料
排	排 排列 排斥 排除 排出 排长
供	供 供应 供给 供求 供不应求 供销
河	河 河流 河南 河北 河水 河边
态	态 态度 态势
封	封 封建 封建社会 封闭 封建主义 封锁
另	另 另外 另一方面 另有
施	施 施工 施行 施肥 施用 施加
减	减 减少 减轻 减弱 减小 减退
树	树 树立 树木 树上 树枝 树林
溶	溶 溶液 溶解 溶于 溶剂 溶化
怎	怎 怎么 怎样 怎么样 怎么办 怎能
止	止 止住
案	案 案件 案子
言	言 言语 言论 言行
士	士 士兵 士大夫
均	均 均匀 均可 均衡 均为
武	武 武器 武装 武汉 武力 武装力量
固	固 固定 固体 固然 固定资产 固有
叶	叶 叶子 叶片 叶绿素 叶倩倩 叶绿体
鱼	鱼 鱼类 鱼群 鱼种
波	波 波动 波长 波兰 波斯 波浪
视	视 视为 视觉 视野 视线 视察
仅	仅 仅仅 仅仅是 仅有 仅次于
费	费 费用 费尔巴哈 费力
降	降 降低 降水 降水量 降落 降到
紧	紧 紧张 紧紧 紧密 紧急 紧接着
爱	爱 爱情 爱国 爱人 爱好 爱因斯坦
左	左 左右 左手 左边 左脚 左侧
章	章 章程 章太炎
早	早 早已 早就 早期 早晨 早在
害	害 害怕 害虫
轻	轻 轻轻 轻松 轻工业 轻易 轻视
服	服 服务 服从 服装 服务员 服饰
食	食 食物 食品 食盐 食用 食堂
试	试 试验 试管 试制 试图 试点
充	充 充分 充满 充实 充足 充当
兵	兵 兵力 兵士 兵团
源	源 源泉 源于
判	判 判断 判决 判处 判定 判别
似	似 似的 似乎 似地
护	护 护士 护理
司	司 司机 司令 司法 司令部 司令员
足	足 足以 足够 足球 足足 足迹
某	某 某些 某种 某个 某部 某人
练	练 练习 练兵 练功
致	致 致使 致病 致富 致死 致力于
板	板 板凳 板块 板上
田	田 田野 田地 田里 田间 田文中
黑	黑 黑暗 黑色 黑格尔 黑龙江 黑人
犯	犯 犯罪 犯错误 犯人 犯法
负	负 负责 负担 负责人 负有 负荷
击	击 击败 击中
范	范 范围 范畴
继	继 继续 继承 继而 继承人
兴	兴 兴趣 兴奋 兴起 兴建 兴办
余	余 余地 余立毅
坚	坚 坚持 坚决 坚定 坚强 坚硬
曲	曲 曲线 曲折 曲子 曲调
输	输 输入 输出 输送
修	修 修改 修养 修理 修建 修正主义
故	故 故事 故意 故乡 故障
城	城 城市 城里 城镇 城乡 城内
觉	觉 觉得 觉悟 觉察 觉醒
夫	夫 夫人 夫妻 夫妇
送	送 送到 送给 送来 送去 送进
笑	笑 笑容 笑声 笑话 笑脸 笑嘻嘻
船	船 船舶 船长 船头 船只 船舱
占	占 占有 占领 占用 占据 占优势
右	右 右手 右边 右派 右脚 右派分子
财	财 财政 财产 财富 财务 财力
吃	吃 吃饭 吃惊 吃完 吃力 吃饱
富	富 富有 富裕 富于 富强 富农
春	春 春天 春秋 春节 春季 春苗
职	职 职工 职业 职能 职务 职责
汉	汉 汉语 汉族 汉字 汉子 汉奸
画	画 画家 画面 画出 画像 画法
功	功 功能 功夫 功率 功课 功绩
巴	巴 巴黎 巴西 巴掌 巴勒斯坦 巴基斯坦
跟	跟 跟着 跟前 跟随 跟踪 跟上
虽	虽 虽然 虽说 虽则
杂	杂 杂志 杂交 杂质 杂草 杂文
飞	飞 飞机 飞行 飞跃 飞到 飞船
曾	曾 曾经
乐	乐 乐曲 乐器 乐队 乐观 乐意
检	检 检查 检验 检讨 检举 检测
吸	吸 吸收 吸引 吸取 吸附 吸引力
助	助 助手 助长
升	升 升高 升起 升华 升降 升到
阳	阳 阳光 阳台 阳性
互	互 互相 互助 互助组 互补 互为
初	初 初期 初步 初中 初级 初次
创	创 创造 创作 创造性 创立 创新
抗	抗 抗日 抗战 抗日战争 抗议 抗病
考	考 考虑 考察 考试 考虑到 考验
投	投 投资 投入 投降 投产 投机
坏	坏 坏人 坏事 坏蛋 坏死
策	策 策略 策划 策动
古	古 古代 古老 古典 古人 古希腊
径	径 径流 径直
换	换 换上 换句话说 换来 换言之 换取
未	未 未来 未能 未必 未曾 未经
跑	跑 跑到 跑去 跑来 跑进 跑出
留	留 留下 留给 留学 留心 留学生
钢	钢 钢铁 钢琴 钢材 钢笔
端	端 端正 端详 端起
责	责 责任 责任感 责任制 责备 责怪
站	站 站起来 站在 站长 站住 站起身
简	简 简单 简直 简称 简化 简便
钱	钱 钱财
副	副 副业 副主席 副热带
尽	尽 尽管 尽量 尽可能 尽快 尽力
帝	帝 帝国主义 帝国 帝王
射	射 射线 射击 射出 射到 射电
草	草 草原 草地 草案 草鞋 草木
冲	冲 冲突 冲击 冲动 冲破 冲出
承	承 承认 承担 承包 承受
独	独 独立 独特 独自 独立性 独占
令	令 令人
限	限 限制 限度 限于 限期 限定
阿	阿 阿姨 阿拉伯 阿富汗 阿拉伯人 阿根廷
宣	宣 宣传 宣布 宣言 宣扬 宣告
环	环 环境 环节 环流 环境污染 环绕
双	双 双方 双手 双眼 双重 双脚
请	请 请求 请示 请来 请教 请问
超	超 超过 超越 超额 超出 超人
微	微 微笑 微微 微观 微生物 微弱
让	让 让步 让给
控	控 控制 控告 控诉
良	良 良好 良心 良种 良性
找	找 找到 找出 找来 找着 找寻
否	否 否定 否则 否认
纪	纪 纪律 纪念 纪录
依	依 依靠 依据 依然 依赖 依照
优	优 优秀 优势 优良 优点 优美
顶	顶 顶点 顶端 顶上 顶着 顶部
载	载 载体
倒	倒 倒是 倒霉 倒退 倒下 倒入
房	房 房子 房间 房屋 房里 房门
突	突 突然 突出 突破 突变 突击
坐	坐 坐下 坐标 坐到 坐上 坐标系
粉	粉 粉碎 粉末 粉红色
敌	敌 敌人 敌对 敌军 敌后 敌我
略	略 略有 略带
客	客 客观 客人 客体 客观上 客厅
袁	袁 袁世凯
冷	冷 冷却 冷静 冷冷 冷笑 冷水
胜	胜 胜利 胜任 胜负 胜仗
绝	绝 绝对 绝不 绝大多数 绝大部分 绝望
析	析 析出
剂	剂 剂量
测	测 测量 测定 测验 测出 测试
丝	丝 丝毫 丝绸
协	协 协调 协作 协议 协助 协会
诉	诉 诉讼 诉说
念	念 念头 念书
陈	陈 陈毅 陈旧 陈二虎 陈述 陈列
仍	仍 仍然 仍是 仍旧
罗	罗 罗马 罗马尼亚 罗马帝国 罗盘
盐	盐 盐酸 盐水 盐类
友	友 友谊 友好 友人 友爱
洋	洋 洋人 洋溢 洋流 洋铁桶
错	错 错误 错综复杂 错觉 错过
苦	苦 苦难 苦恼 苦笑 苦闷 苦痛
夜	夜 夜里 夜晚 夜间 夜色 夜空
刑	刑 刑法 刑事 刑罚 刑事责任 刑事诉讼
移	移 移动 移植 移到 移民
模	模 模式 模型 模糊 模仿 模范
频	频 频率 频繁 频频
逐	逐 逐渐 逐步 逐年
靠	靠 靠近 靠拢
混	混 混合 混乱 混和 混淆 混战
母	母 母亲 母体 母子 母鸡 母猪
短	短 短期 短短 短暂 短缺 短促
皮	皮 皮肤 皮鞋 皮质 皮下 皮带
终	终 终于 终身 终年 终究 终生
聚	聚 聚集 聚居 聚合 聚精会神
汽	汽 汽车 汽油
村	村 村里 村庄 村子 村长 村落
哪	哪 哪里 哪儿 哪些 哪个 哪怕
云	云 云南 云雾 云层 云彩 云集
既	既 既然 既是 既定
距	距 距离 距今
卫	卫 卫生 卫星
校	校 校长 校园 校舍
停	停 停止 停留 停顿 停住 停下来
烈	烈 烈士 烈火 烈日
察	察 察觉 察看
烧	烧 烧毁 烧瓶
迅	迅 迅速 迅猛
