一	一ＹＩ
阿	阝可Ａ
计	讠十Ｊ
顿	七凵页
爱	爱ＡＩ
告	告ＧＯ
夫	夫ＦＵ
七	七ＱＩ
嘴	口匕用
器	口口口
圣	又土Ｓ
南	Ｍ首十
留	Ｃ刀田
元	元ＹＮ
敌	舌攵Ｄ
沉	氵冖几
请	讠青Ｑ
官	宀官Ｇ
威	戊一女
每	母Ｍ
况	冫口儿
确	石用
答	亼口
乱	舌乚Ｌ
陈	阝七小
宝	宀王丶
视	礻见Ｓ
护	扌户Ｈ
格	木各Ｇ
脑	月文凵
兄	口儿Ｘ
狂	犭王Ｋ
淡	氵火火
识	讠口八
题	日止页
停	亻亮丁
司	一口
低	亻Ｃ七
雨	雨ＹＵ
呼	口丿丁
久	丶Ｊ
未	未ＷＩ
孩	子亥Ｈ
卫	卩一Ｗ
脚	月土卩
除	阝余Ｃ
古	古ＧＵ
亚	亚ＹＡ
字	宀子Ｚ
骑	马大可
房	户方Ｆ
代	代ＤＩ
伙	亻火Ｈ
鬼	白儿厶
员	口贝Ｙ
缓	纟爫又
复	日夂
六	亠八Ｌ
黄	由八
装	丬士衣
居	尸古Ｊ
凌	冫土夂
呵	口可Ｈ
米	米ＭＩ
恐	工几心
单	丷日十
旁	旁方Ｐ
钱	钅一戈
跑	包Ｐ
布	巾Ｂ
或	戈口一
爷	父卩Ｙ
玩	王元Ｗ
报	扌卩又
疑	匕矢止
术	木丶Ｓ
睛	目青Ｊ
隐	阝心
欢	又欠Ｈ
续	纟十头
章	章ＺＧ
差	工Ｃ
挥	扌冖车
父	父ＦＵ
句	勹口Ｊ
待	彳土寸
九	九ＪＵ
派	氵ｒ
持	扌土寸
类	米大Ｌ
宇	宀于Ｙ
丽	一冂冂
蓝	艹刂皿
佛	亻弓刂
刘	文刂Ｌ
忽	勹彳心
怀	忄不Ｈ
您	亻心
怒	女又心
掉	扌卜十
招	扌召Ｚ
希	乂巾
送	丷大辶
背	丬匕冃
工	工ＧＧ
甚	其乚Ｓ
烈	歹刂灬
卡	卜下Ｋ
细	纟田Ｘ
掌	尚手Ｚ
论	讠人匕
密	宀心山
运	云辶Ｙ
退	艮辶Ｔ
酒	氵酉Ｊ
求	氺丶Ｑ
猛	犭子皿
另	另ＬＧ
射	身寸Ｓ
集	隹木Ｊ
首	首丿目
北	丬匕Ｂ
照	日召灬
晚	日儿
赶	走干Ｇ
守	宀寸Ｓ
木	木ＭＵ
散	冃攵
穿	穴一才
联	耳丷大
铁	钅失Ｔ
段	Ｅ殳Ｄ
练	纟七小
喝	口日勹
需	雨丆皿
支	十又Ｚ
巴	巴ＢＡ
左	工Ｚ
陆	阝干凵
角	用Ｊ
书	乛卩丶
防	阝方Ｆ
忍	刀丶心
莫	莫ＭＯ
群	彐丿羊
民	巳七Ｍ
客	宀各Ｋ
线	纟一戈
毫	亮毛Ｈ
肯	止冃Ｋ
展	尸ｒ
谢	讠身寸
亮	亮几Ｌ
痛	疒用
股	月殳Ｇ
造	告辶Ｚ
妖	女丿大
虎	虍几Ｈ
秦	禾Ｑ
紫	止匕小
宫	宀口口
激	氵白攵
赵	走乂Ｚ
渐	氵车斤
震	雨厂ｒ
注	氵主Ｚ
禁	林示Ｊ
吸	口及Ｘ
取	耳又Ｑ
梦	林夕Ｍ
枪	木仓Ｑ
程	禾口王
叹	口又Ｔ
江	氵工Ｊ
简	门日
羽	羽ＹＵ
友	又Ｙ
继	纟米乚
念	亽乛心
右	口Ｙ
萧	艹彐川
热	执灬Ｒ
份	亻分Ｆ
乐	Ｃ小Ｌ
压	厂土丶
既	艮旡Ｊ
靠	告非Ｋ
香	禾日Ｘ
恶	亚心Ｅ
引	弓丨Ｙ
止	止ＺＩ
包	包ＢＯ
追	追辶Ｚ
仅	亻又Ｊ
寒	宀井冫
雅	一才隹
争	彐亅
愿	厂白心
超	走召Ｃ
狠	犭艮Ｈ
厉	厂丆
式	弋工Ｓ
波	氵皮Ｂ
刺	木冂刂
号	口丂Ｈ
态	大丶心
存	Ｐ子Ｃ
游	氵族子
台	厶口Ｔ
跳	ＫＫ
狼	犭丶艮
属	尸丿冂
妹	女未Ｍ
炼	火七小
灭	一火Ｍ
英	艹央Ｙ
醒	酉日
举	兴八干
嘿	口黑Ｈ
境	土竟Ｊ
胜	月丿
诉	讠斤丶
抱	扌包Ｂ
毕	比十Ｂ
务	夂力Ｗ
甲	甲ＪＡ
齐	文刂Ｑ
拍	扌白Ｐ
唐	广彐口
君	彐丿口
楼	木米女
险	阝亼兴
院	阝宀元
建	彐干廴
观	又见Ｇ
柔	才木
逃	ＫＫ辶
置	罒十且
娘	女丶艮
担	扌日一
殿	尸殳
阴	阝月Ｙ
呆	口木Ｄ
层	尸云Ｃ
试	讠弋工
约	纟勹丶
凡	几丶Ｆ
眉	尸目Ｍ
弹	弓丷十
救	氺丶攵
银	钅艮Ｙ
统	纟充儿
否	不口Ｆ
索	十冖小
抓	扌爪Ｚ
府	广亻寸
调	讠冂土
曾	丷日日
魂	云白儿
基	其土Ｊ
顶	丁页Ｄ
峰	山夂丰
苏	艹力八
图	囗夂冫
松	木八厶
议	讠丶乂
料	米斗Ｌ
顾	厂页
严	亚丿Ｙ
业	业ＹＥ
恩	囗大心
礼	礻乚Ｌ
耳	耳ＥＲ
选	儿辶
余	余ＹＵ
败	贝攵Ｂ
区	匚乂Ｑ
顺	川页Ｓ
皮	皮ＰＩ
沙	氵少Ｓ
瞬	目爫舛
树	木又寸
秘	禾心丿
商	商ＳＧ
组	纟且Ｚ
块	土夬Ｋ
汉	氵又Ｈ
充	充儿Ｃ
贵	贵ＧＩ
迷	米辶Ｍ
混	氵日比
纷	纟分Ｆ
示	示ＳＩ
伸	亻日丨
娜	女月阝
助	且力Ｚ
呀	口一才
封	圭寸Ｆ
排	扌非Ｐ
期	其月Ｑ
肉	内人Ｒ
船	舟几口
座	广人土
义	丶乂Ｙ
舰	舟见Ｊ
闻	门耳Ｗ
升	丿廾Ｓ
室	宀一土
妈	女马Ｍ
亡	亡ＷＧ
付	亻寸Ｆ
控	扌穴工
警	艹攵言
负	负ＦＵ
推	扌隹Ｔ
扬	扌Ｊ彳
模	木莫Ｍ
芒	艹亡Ｍ
凤	几又Ｆ
虚	虍业Ｘ
默	黑大丶
土	土ＴＵ
技	扌十又
费	弓刂贝
温	氵日皿
市	亠巾Ｓ
麻	广林Ｍ
初	衤刀Ｃ
考	耂丂Ｋ
拥	扌用Ｙ
究	穴九Ｊ
握	扌尸土
资	冫欠贝
普	首业日
翻	丿田羽
察	宀祭示
独	犭虫Ｄ
幸	土首十
舞	夕舛
称	禾小
玄	玄ＸＮ
母	母ＭＵ
暴	日氺
按	扌安Ａ
孙	子小Ｓ
睡	目千垂
改	己攵Ｇ
换	扌大
素	幺小
较	车亠父
具	且八Ｊ
箭	首前
品	口口口
忘	亡心Ｗ
状	丬大丶
堂	尚土Ｔ
副	畐刂Ｆ
承	乛水三
野	里丁
锋	钅夂丰
洞	氵冂一
遇	甲冂辶
查	木日一
洛	氵各Ｌ
局	尸口
赛	宀井贝
划	戈刂Ｈ
权	木又Ｑ
藏	艹戊丆
味	口未Ｗ
丹	冂亠Ｄ
故	古攵Ｇ
钟	钅口丨
坏	土不Ｈ
仍	亻乃Ｒ
宗	宀示Ｚ
弱	弓冫弓
弄	王廾Ｎ
脱	月丷儿
菲	艹非Ｆ
胸	月勹乂
哼	口高亅
药	艹纟勹
历	厂力Ｌ
徐	彳余Ｘ
拳	手Ｑ
爆	火日氺
杰	木灬Ｊ
谈	讠火火
须	彡页Ｘ
坚	刂又土
奥	白米大
仿	亻方Ｆ
据	扌尸古
偷	亻亼前
施	族也Ｓ
产	立丿Ｃ
营	营口口
骨	骨ＧＵ
晶	日日日
透	禾乃辶
尊	酋寸Ｚ
短	矢一首
抬	扌厶口
政	一止攵
烦	火页Ｆ
河	氵可Ｈ
牙	一才Ｙ
维	纟隹Ｗ
证	讠一止
卷	Ｊ
幽	山幺幺
草	艹日十
森	木林Ｓ
吴	口一大
摆	扌罒厶
蒙	营二豕
危	厂
毒	母Ｄ
投	扌殳Ｔ
熟	高九灬
飘	覀示风
导	巳寸Ｄ
朋	月月Ｐ
质	十贝
释	丿米干
喊	口戊一
胡	古月Ｈ
参	厶大彡
休	亻木Ｘ
劲	又工力
景	日高小
挡	扌彐
印	Ｅ卩Ｙ
惜	忄日
枫	木风Ｆ
幻	幺Ｈ
欲	谷欠Ｙ
摸	扌莫Ｍ
烟	火囗大
致	一土攵
州	州ＺＵ
冥	冖日八
尼	尸匕Ｎ
抗	扌亠几
妙	女少Ｍ
翼	羽田八
秋	禾火Ｑ
凝	冫止
寻	彐寸Ｘ
盘	舟皿Ｐ
永	丶水Ｙ
板	木反Ｂ
智	矢口日
哦	口手戈
责	贝Ｚ
尸	尸ＳＩ
傲	亻敖Ａ
柳	木Ｇ卩
御	彳卩
临	刂日
浪	氵丶艮
辈	非车Ｂ
娇	女丿刂
恨	忄艮Ｈ
吓	口下Ｘ
价	亻人刂
硬	石丈日
探	扌木
际	阝示Ｊ
横	木八
标	木示Ｂ
纳	纟内Ｎ
欧	匚乂欠
宁	宁ＮＧ
墙	土十囗
田	田ＴＮ
习	习ＸＩ
肩	户冃Ｊ
戏	又戈Ｘ
奈	大示Ｎ
设	讠殳Ｓ
效	亠父攵
福	礻畐Ｆ
袋	代衣Ｄ
移	禾夕夕
型	一刂土
疯	疒风Ｆ
毛	毛ＭＯ
贝	贝ＢＩ
冒	日目Ｍ
叔	卜小又
碎	石亠十
轰	车又又
扑	扌卜Ｐ
奋	大田Ｆ
饭	饣反Ｆ
科	禾斗Ｋ
惨	忄厶彡
咱	口丿目
治	氵厶口
湖	氵古月
环	王不Ｈ
尘	小土Ｃ
略	田各Ｌ
躲	身几木
免	口儿
盟	日月皿
珠	王朱Ｚ
迎	Ｃ卩辶
凭	亻壬几
规	夫见Ｇ
犹	犭尢丶
雄	厶隹
距	匚尸
伯	亻白Ｂ
借	亻日
域	土戈口
床	广木Ｃ
骂	口口马
莉	艹禾刂
朱	朱ＺＵ
史	口乂Ｓ
避	尸辛辶
聚	耳又乑
皱	彐皮
秀	禾乃Ｘ
韩	十十卩
挑	扌ＫＫ
降	阝夂舛
敬	艹口攵
源	氵厂小
徒	彳走Ｔ
束	木口Ｓ
鲜	鱼羊Ｘ
撞	扌立里
岁	山夕Ｓ
架	加木Ｊ
嘛	口广林
哭	口口大
袭	龙衣Ｘ
惑	戈口心
罪	罒非Ｚ
节	艹卩Ｊ
罢	罒土厶
食	食ＳＩ
啦	口扌立
唯	口隹Ｗ
买	乛头Ｍ
训	讠川Ｘ
腿	月艮辶
稍	禾冃
校	木亠父
艾	艹乂Ａ
诺	讠艹口
某	廿一木
邪	一才阝
鲁	鱼日Ｌ
姑	女古Ｇ
阻	阝且Ｚ
丁	丁ＤＧ
塔	土艹口
闭	门才Ｂ
迅	乙十辶
逸	兔辶Ｙ
臣	匚丨尸
残	歹一戈
裂	歹刂衣
托	扌丿七
良	丶艮Ｌ
泪	氵目Ｌ
尖	小大Ｊ
晓	日戈儿
伊	亻彐丿
洋	氵羊Ｙ
屋	尸一土
尚	尚ＳＧ
颗	日木页
鱼	鱼ＹＵ
炸	火乍Ｚ
仇	亻九Ｃ
讲	讠井Ｊ
焰	火臼
配	酉己Ｐ
旧	丨日Ｊ
绿	纟彐水
假	亻尸又
圆	囗口贝
验	马亼兴
番	丿米田
搞	扌高Ｇ
迹	亦辶Ｊ
荡	落Ｊ彳
彩	爫木彡
腾	月马
恢	忄火
腰	月覀女
厅	厂丁Ｔ
牛	牛ＮＵ
吼	口子乚
占	占ＺＮ
颤	亠一页
趣	走耳又
梅	木母
奔	大十廾
臂	尸辛冃
愣	忄罒方
勇	用力
套	大Ｅ厶
剩	禾丬刂
志	士心Ｚ
舒	亼古丁
端	立山皿
虑	虍心Ｌ
医	匚矢Ｙ
妮	女尸匕
炮	火包Ｐ
蛋	乛止虫
卖	十乛头
闹	门亠巾
颜	立丿页
归	刂彐Ｇ
圈	囗
限	阝艮Ｘ
浮	氵爫子
弃	充廾Ｑ
适	舌辶Ｓ
软	车欠Ｒ
抵	扌Ｃ七
厚	厂日子
帅	刂巾Ｓ
尤	尢丶Ｙ
讶	讠一才
广	广ＧＧ
范	落Ｆ
桌	卜日木
欣	斤欠Ｘ
病	疒一内
共	八Ｇ
职	耳口八
诸	讠者Ｚ
镇	钅十八
专	二Ｚ
值	亻十且
偏	亻户冊
杂	九朩Ｚ
增	土丷日
豪	亮豕Ｈ
咬	口亠父
触	用虫
陷	阝臼
雾	雨夂力
挺	扌壬廴
炎	火火Ｙ
稳	禾心
择	扌又干
巧	工丂Ｑ
胖	月半Ｐ
附	阝亻寸
盯	目丁Ｄ
碰	石首业
纪	纟己Ｊ
阶	阝人刂
谷	谷ＧＵ
嗯	口囗心
岛	鸟山Ｄ
夏	丆目夂
扫	扌彐Ｓ
潜	氵夫日
毁	臼工殳
项	工页Ｘ
旋	族乛止
抢	扌仓Ｑ
抽	扌由Ｃ
优	亻尢丶
迪	由辶Ｄ
涌	氵用
网	冂乂乂
祖	礻且Ｚ
拜	一丰
测	氵贝刂
伟	亻二卩
案	安木Ａ
列	歹刂Ｌ
谓	讠田冃
操	扌口木
春	日Ｃ
店	广占Ｄ
瑞	王山皿
善	羊首口
逼	畐辶Ｂ
浑	氵冖车
输	车亼前
烧	火戈儿
瞪	目癶首
慕	莫Ｍ
懂	忄艹里
富	宀畐Ｆ
汗	氵干Ｈ
侧	亻贝刂
赤	土亦Ｃ
率	亠幺十
杯	木不Ｂ
京	高小Ｊ
吉	吉ＪＩ
滚	氵衣八
曼	日罒又
浩	氵告Ｈ
获	艹犭大
轮	车人匕
损	扌口贝
抖	扌斗Ｄ
累	田幺小
讨	讠寸Ｔ
苍	艹仓Ｃ
悄	忄冃
养	丶刂
塞	宀井土
鸣	口鸟Ｍ
挂	扌圭Ｇ
胆	月日一
孤	子瓜Ｇ
傻	亻白夂
陪	阝立口
镜	钅竟Ｊ
凶	乂凵Ｘ
吐	口土Ｔ
杜	木土Ｄ
猜	犭青Ｃ
庞	广龙Ｐ
幕	莫巾Ｍ
琳	王林Ｌ
蛇	虫宀匕
拼	扌首廾
孔	子乚Ｋ
盖	皿Ｇ
材	木才Ｃ
扎	扌乚Ｚ
爸	父巴Ｂ
预	丁页
晃	日儿
闷	门心Ｍ
姓	女丿
莱	艹未丷
仔	亻子Ｚ
吟	口亽乛
遍	户冊辶
彻	彳七刀
纯	纟七凵
伦	亻人匕
盗	冫欠皿
愤	忄十贝
困	囗木Ｋ
缘	纟彑豕
纵	纟人人
啸	口彐川
夺	大寸Ｄ
壁	尸辛土
宋	宀木Ｓ
估	亻古Ｇ
介	人刂Ｊ
画	一田凵
庄	广土Ｚ
狗	犭勹口
沈	氵巾乚
贼	贝戈
补	衤卜Ｂ
摩	广林手
脉	月丶水
泰	氺Ｔ
痕	疒艮Ｈ
燕	廿口灬
折	扌斤Ｚ
劫	土厶力
演	氵穴一
灰	火Ｈ
伏	亻大丶
悠	亻攵心
婆	氵皮女
创	仓刂Ｃ
研	石一廾
含	亽乛口
写	冖与Ｘ
凯	山己几
岳	丘山Ｙ
午	午ＷＵ
池	氵也Ｃ
睁	目亅
萨	艹阝丿
暂	车斤日
闲	门木Ｘ
概	木艮旡
逐	豕辶Ｚ
旦	日一Ｄ
登	癶一首
误	讠口大
戒	戈廾Ｊ
村	木寸Ｃ
街	彳圭亍
跃	丿大
牌	片卑Ｐ
廷	壬廴Ｔ
罩	罒卜十
斩	车斤Ｚ
班	王刂王
爵	爫艮寸
陛	阝比土
膀	月旁方
迟	尺辶Ｃ
踪	宀示
替	夫夫日
谋	讠廿木
伴	亻半Ｂ
霸	雨革月
傅	亻甫寸
怜	忄亽
乌	乌ＷＵ
曲	日刂Ｑ
瞧	目焦Ｑ
惧	忄且八
俊	亻厶夂
歌	可可欠
咒	口口几
漂	氵覀示
嘻	口吉口
倍	亻立口
采	爫木Ｃ
昨	日乍Ｚ
互	一彑Ｈ
鹰	广亻鸟
蒂	艹旁巾
舍	亼古Ｓ
慌	忄艹川
糊	米古月
犯	犭Ｆ
扭	扌丑Ｎ
判	半刂Ｐ
丢	千一厶
羞	丑Ｘ
昏	Ｃ七日
竹	竹ＺＵ
唤	口大
忧	忄尢丶
锐	钅丷儿
琴	王王乛
宽	宀艹见
莲	艹车辶
躯	身匚乂
郎	丶艮阝
疼	疒夂冫
席	广廿巾
伍	亻五Ｗ
剧	尸古刂
碧	王白石
征	彳一止
鸟	鸟ＮＯ
赞	贝
丈	丈ＺＧ
侍	亻土寸
悉	丿米心
漫	氵日又
缩	纟宀日
帐	巾长Ｚ
遭	西日辶
坦	土日一
喃	口Ｍ首
悟	忄五口
壮	丬士Ｚ
辰	厂ｒＣ
貌	豸白儿
鼻	丿目丌
聊	耳Ｇ卩
怨	夕心
弓	弓ＧＧ
绕	纟戈儿
私	禾厶Ｓ
耀	儿隹
财	贝才Ｃ
掩	扌大乚
吞	一大口
织	纟口八
监	刂皿
洗	氵儿
佩	亻几一
融	一冂虫
插	扌千臼
梁	氵刀木
忠	口丨心
悲	非心Ｂ
笔	毛Ｂ
迫	白辶Ｐ
凉	冫高小
丫	丷丨Ｙ
鼓	吉首又
豫	丁象
亦	亦ＹＩ
敏	母攵
狱	犭大丶
召	召ＺＯ
佣	亻用Ｙ
忆	忄乙Ｙ
朵	几木Ｄ
博	十甫寸
狐	犭瓜Ｈ
吹	口欠Ｃ
拔	扌犮Ｂ
荣	营木Ｒ
劳	营力Ｌ
茶	艹人朩
缠	纟广里
盛	戊皿
磨	广林石
浓	氵巾ｒ
净	冫亅
仰	亻Ｃ卩
遥	爫缶辶
废	广发Ｆ
恭	八
菜	艹爫木
阁	门各Ｇ
缺	缶夬Ｑ
粗	米且Ｃ
躺	身尚Ｔ
宣	宀一一
桑	又又木
绍	纟召Ｓ
惯	忄毌贝
遗	贵辶Ｙ
晕	日冖车
执	执ＺＩ
喷	口十贝
刹	乂朩刂
努	女又力
脆	月
轩	车干Ｘ
佳	亻圭Ｊ
耗	耒毛Ｈ
窗	穴白夂
积	禾口八
策	木冂
辉	儿车
灯	火丁Ｄ
辛	辛ＸＮ
援	扌爫又
堆	土隹Ｄ
扶	扌夫Ｆ
踏	水日
库	广车Ｋ
屁	尸比Ｐ
唇	厂ｒ口
奴	女又Ｎ
翔	羽Ｘ
熊	厶匕灬
粉	米分Ｆ
勒	革力Ｌ
尾	尸毛Ｗ
批	扌比Ｐ
乖	千丬匕
艳	丰巴
趁	走人彡
慧	丰丰心
姬	女匚丨
爬	爪巴Ｐ
